id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5000735,310,276063,Entire home/apt,Italy,Bologna,,Santo Stefano,0,,4,2,1,138,5,,2016-02-07 07:07:03.722837,44.496451,11.350405,0101000020E6100000B3B5BE4868B326408388D4B48B3F4640
606753,310,2671558,Shared room,Italy,Bologna,,Santo Stefano,6,3.5,,1,1,29,2,,2016-02-07 07:06:56.821861,44.476853,11.373272,0101000020E61000006806F1811DBF2640EFFFE384093D4640
374090,310,1882258,Entire home/apt,Italy,Bologna,,Porto - Saragozza,122,5,4,1,1,115,2,,2016-02-07 07:06:47.049670,44.494622,11.330877,0101000020E610000047FFCBB568A92640E9F010C64F3F4640
1311596,310,1877146,Entire home/apt,Italy,Bologna,,Porto - Saragozza,58,4.5,2,1,1,75,2,,2016-02-07 07:06:42.913308,44.496008,11.336981,0101000020E61000002BBF0CC688AC2640F646AD307D3F4640
10238867,310,39333094,Private room,Italy,Bologna,,Borgo Panigale - Reno,0,,2,1,1,33,1,,2016-02-07 07:06:39.781367,44.503067,11.300898,0101000020E610000016DD7A4D0F9A26403259DC7F64404640
4214688,310,15057461,Private room,Italy,Bologna,,Porto - Saragozza,14,4.5,2,1,1,69,1,,2016-02-07 07:06:35.954115,44.494048,11.336747,0101000020E61000005F0D501A6AAC2640BD5301F73C3F4640
9341118,310,5625137,Private room,Italy,Bologna,,Navile,1,5,4,1,1,42,1,,2016-02-07 07:06:04.518706,44.546071,11.361432,0101000020E6100000AC74779D0DB92640A2258FA7E5454640
373095,310,1877146,Entire home/apt,Italy,Bologna,,Porto - Saragozza,42,5,3,1,1,69,2,,2016-02-07 07:05:45.816795,44.496457,11.330539,0101000020E6100000E71A66683CA92640656F29E78B3F4640
3420786,310,14585163,Private room,Italy,Bologna,,Porto - Saragozza,2,5,4,1,1,115,1,,2016-02-07 07:05:31.982570,44.494864,11.34019,0101000020E61000003CDA38622DAE2640DFFB1BB4573F4640
5342332,310,3633612,Entire home/apt,Italy,Bologna,,Santo Stefano,17,4.5,4,2,2,138,4,,2016-02-07 07:05:13.706183,44.4948,11.349985,0101000020E61000005E2EE23B31B32640C8073D9B553F4640
10663659,310,55083089,Private room,Italy,Bologna,,Navile,3,4.5,2,1,1,27,1,,2016-02-07 07:05:09.250272,44.509773,11.345541,0101000020E6100000B2DAFCBFEAB0264021B1DD3D40414640
967061,310,4664996,Entire home/apt,Italy,Bologna,,Santo Stefano,71,5,3,1,1,63,1,,2016-02-07 07:04:59.407462,44.498716,11.345408,0101000020E6100000B58D3F51D9B02640F8FE06EDD53F4640
9429353,310,18546966,Private room,Italy,Bologna,,Santo Stefano,1,5,2,1,1,28,1,,2016-02-07 07:04:44.719299,44.482942,11.372118,0101000020E61000008081204086BE2640B3EE1F0BD13D4640
1907397,310,3214586,Private room,Italy,Bologna,,Porto - Saragozza,20,5,2,1,1,58,1,,2016-02-07 07:04:39.826949,44.494848,11.329586,0101000020E61000005D70067FBFA82640D93EE42D573F4640
9070400,310,5625137,Entire home/apt,Italy,Bologna,,Navile,3,4.5,,3,2,93,1,,2016-02-07 07:04:22.124806,44.544484,11.359793,0101000020E6100000D2A8C0C936B82640FE98D6A6B1454640
10543761,310,50058125,Shared room,Italy,Bologna,,Navile,0,,2,1,1,45,1,,2016-02-07 07:03:54.792541,44.51831,11.328088,0101000020E61000008B6B7C26FBA726404A9869FB57424640
9244083,310,20155269,Entire home/apt,Italy,Bologna,,Santo Stefano,4,5,4,1,1,87,2,,2016-02-07 07:03:51.906541,44.491341,11.352619,0101000020E61000007EE5417A8AB426408B170B43E43E4640
10365125,310,53073849,Private room,Italy,Bologna,,Porto - Saragozza,0,,2,1,1,63,1,,2016-02-07 07:03:42.952064,44.501607,11.333909,0101000020E61000001DAED51EF6AA2640EB387EA834404640
4429998,310,5581314,Entire home/apt,Italy,Bologna,,Porto - Saragozza,71,4.5,2,1,1,92,2,,2016-02-07 07:03:33.138290,44.497319,11.334403,0101000020E61000005B5EB9DE36AB2640F7562426A83F4640
