id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month
245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,4.448.680.074.533.030,1.131.470.503.801.280,Entire home/apt,74,3,8,07/11/17,0.10,2,364,june,2018
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,4.449.701.525.646.360,11.342.905.313.542.200,Private room,68,2,15,21/04/18,0.21,1,298,june,2018
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,4.448.857.577.520.290,11.347.823.247.722.300,Private room,35,1,77,23/06/18,1.03,6,60,june,2018
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.494.874.239.385.500,11.332.412.535.463.100,Entire home/apt,85,3,45,24/06/18,0.59,1,258,june,2018
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,4.449.517.092.160.300,11.339.642.090.545.900,Private room,60,2,23,28/03/18,0.58,1,363,june,2018
274973," Apartment "" La Maison du Lipp "" ",1437518,Giampiero,,Santo Stefano,444.874.939.121.672,11.335.124.970.220.700,Entire home/apt,450,1,0,,,1,334,june,2018
283973,Homely home in charming Bologna,1476568,Tanya,,Porto - Saragozza,4.449.068.615.774.750,1.132.510.294.217.790,Private room,35,1,12,27/06/18,0.16,2,360,june,2018
286691,Sunny Quiet Room Near Center/Fiera ,1517686,Valerio,,Santo Stefano,4.447.361.256.309.280,11.369.766.507.472.400,Private room,50,1,20,17/03/18,0.27,1,365,june,2018
293536,Wonderful house in the city  heart,1517643,Nicola,,Santo Stefano,4.449.438.957.379.780,11.353.714.822.832.500,Entire home/apt,130,7,26,19/05/18,0.34,1,324,june,2018
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,4.449.555.430.000.560,11.344.304.966.349.600,Entire home/apt,150,3,19,03/05/18,0.25,1,294,june,2018
309169,Fresco Suite in historic centre,184487,Carlo,,Santo Stefano,4.448.562.542.032.720,11.347.971.117.940.800,Private room,75,1,61,10/12/17,0.80,3,341,june,2018
341796,Bologna bike and chic apartament!,1734175,Nilla,,San Donato - San Vitale,4.449.459.587.685.140,11.375.765.734.063.400,Private room,38,3,2,08/04/17,0.13,1,120,june,2018
359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.495.115.806.101.400,11.350.453.607.899.500,Entire home/apt,55,7,49,08/06/18,0.67,1,277,june,2018
372605,Graziosa Torretta in Bologna,1875532,Antonella,,Santo Stefano,44.477.581.925.553.100,11.347.975.407.219.200,Entire home/apt,70,2,7,31/05/18,0.61,1,312,june,2018
