,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
2058,41605131,Rental unit in Bologna · ★4.92 · 1 bedroom · 1 bed · 1 bath,255826404,Francesca,,Santo Stefano,44.49279,11.35475,Entire home/apt,86,2,112,2023-06-14,2.72,2,117,60,,Irnerio
2059,41610532,Bed and breakfast in Bologna · ★4.25 · 1 bedroom · 1 bed · 1 private bath,32062320,Daniele,,Porto - Saragozza,44.49822,11.335939999999999,Private room,141,1,8,2023-05-20,0.3,7,354,3,,Marconi
2060,41630366,Bed and breakfast in Bologna · ★4.21 · 1 bedroom · 3 beds · 1 bath,4373635,B&B A Casa Mia,,Porto - Saragozza,44.4953,11.33089,Private room,90,1,29,2023-06-08,0.7,4,288,14,037006-BB-00277,Malpighi
2061,41634270,Bed and breakfast in Bologna · ★4.89 · 1 bedroom · 2 beds · 1 shared bath,314417328,Fernanda,,Porto - Saragozza,44.50254,11.33988,Private room,55,1,123,2023-06-16,2.96,1,16,45,,Marconi
2062,41638282,Condo in Bologna · ★4.84 · 1 bedroom · 2 beds · 1 bath,38931069,Gabriele,,San Donato - San Vitale,44.50497,11.35476,Entire home/apt,85,3,51,2023-06-18,4.41,1,277,51,,San Donato
2063,41638618,Condo in Bologna · ★4.53 · 1 bedroom · 2 beds · 2 shared baths,18835143,Daniele,,Navile,44.51443,11.3417,Private room,70,2,38,2023-05-22,0.92,2,174,21,,Bolognina
2064,41682870,Rental unit in Bologna · ★4.83 · 1 bedroom · 1 bed · 1 private bath,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,105,1,6,2022-11-27,0.28,8,31,2,,Bolognina
2065,41682924,Rental unit in Bologna · ★4.0 · 1 bedroom · 1 bed · 1 private bath,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,93,1,3,2022-07-16,0.25,8,29,3,,Bolognina
2066,41683956,Rental unit in Bologna · ★4.50 · 1 bedroom · 1 bed · 1 private bath,99194205,Pasquale,,Navile,44.507957,11.340406,Private room,94,1,8,2023-03-19,0.39,8,25,4,,Bolognina
2067,41705114,Condo in Bologna · ★4.62 · 1 bedroom · 2 beds · 1 shared bath,181163670,Elena,,Porto - Saragozza,44.49109,11.30844,Private room,46,1,146,2023-06-07,4.37,1,347,76,,Costa Saragozza
2068,41721050,Rental unit in Bologna · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,329449430,Francesco,,San Donato - San Vitale,44.50271,11.365039999999999,Entire home/apt,111,1,3,2023-05-07,0.07,1,258,1,,San Donato
2069,41727651,Condo in Bologna · ★4.93 · 1 bedroom · 3 beds · 1 bath,321271889,Simona,,Navile,44.525009999999995,11.345089999999999,Entire home/apt,90,2,27,2023-06-15,1.25,1,93,14,,Bolognina
2070,41738490,Rental unit in Bologna · ★4.97 · 1 bedroom · 2 beds · 1 bath,192864951,Marco,,Porto - Saragozza,44.49617,11.33698,Entire home/apt,111,1,58,2023-06-13,1.42,5,32,57,,Marconi
2071,41738899,Rental unit in Bologna · ★4.88 · 2 bedrooms · 3 beds · 2 baths,329624550,Anna,,Porto - Saragozza,44.49767,11.33964,Entire home/apt,105,3,120,2023-06-06,2.88,1,114,52,,Marconi
2072,41739311,Rental unit in Bologna · ★4.88 · 1 bedroom · 2 beds · 1 bath,192864951,Marco,,Porto - Saragozza,44.49617,11.33698,Entire home/apt,132,1,59,2023-06-16,1.45,5,30,58,,Marconi
2073,41739562,Rental unit in Bologna · ★4.92 · 1 bedroom · 2 beds · 1 bath,192864951,Marco,,Porto - Saragozza,44.49617,11.33698,Entire home/apt,129,1,65,2023-06-14,1.58,5,23,62,,Marconi
2074,41813669,Boutique hotel in Bologna · 1 bedroom · 1 bed · 1 private bath,327732600,Hotel Villa Azzurra,,Savena,44.48897,11.381089999999999,Private room,45,1,1,2021-08-30,0.05,1,0,0,,Mazzini
2075,41814033,Condo in Bologna · 1 bedroom · 1 bed · 1 bath,50429991,Flat In Italy,,Santo Stefano,44.485929999999996,11.34709,Entire home/apt,56,1,2,2020-02-16,0.05,10,0,0,,Galvani
2076,41836186,Condo in Bologna · ★4.98 · 2 bedrooms · 2 beds · 1 bath,330667884,Paolo,,Santo Stefano,44.491240000000005,11.35267,Entire home/apt,144,1,128,2023-06-18,3.16,1,61,68,51998/2020 Comune di Bologna - CIR 037006-CV-00285,Galvani
2077,41868835,Condo in Bologna · ★4.98 · 1 bedroom · 1 bed · 1 private bath,289775682,Luca,,Porto - Saragozza,44.49866104125977,11.335271835327148,Private room,48,2,127,2023-06-21,3.1,2,93,72,,Marconi
2078,41904640,Rental unit in Bologna · ★4.29 · 1 bedroom · 1 bed · 1 private bath,2406921,Laura,,Santo Stefano,44.496359999999996,11.3462,Private room,95,2,7,2022-08-30,0.25,1,364,1,,Irnerio
2079,41968044,Condo in Bologna · 1 bedroom · 4 beds · 1 bath,4035469,Carola,,Navile,44.5155,11.34762,Entire home/apt,500,2,1,2023-03-19,0.31,2,178,1,,Bolognina
2080,41968911,Bed and breakfast in Bologna · ★4.45 · 1 bedroom · 4 beds · 1 private bath,12884311,Laura,,Navile,44.50813,11.345360000000001,Private room,100,1,22,2022-11-22,0.6,3,23,2,,Bolognina
2081,41968931,Rental unit in Bologna · ★4.93 · 1 bedroom · 1 bed · 1 bath,4035469,Carola,,Navile,44.51508331298828,11.34699535369873,Private room,98,1,15,2023-04-30,1.11,2,180,12,,Bolognina
2082,41992564,Rental unit in Bologna · ★4.73 · 2 bedrooms · 4 beds · 2 baths,228384114,Realkasa,,Porto - Saragozza,44.49427,11.34121,Entire home/apt,153,3,40,2023-05-29,0.99,86,71,10,,Malpighi
2083,42000551,Condo in Bologna · ★5.0 · 2 bedrooms · 2 beds · 1 bath,85256190,Roberta,,Navile,44.51271,11.35212,Entire home/apt,48,2,51,2023-06-12,2.42,1,27,37,,Bolognina
2084,42009260,Condo in Bologna · ★5.0 · 1 bedroom · 1 bed · 1 bath,144555542,Andrea,,Navile,44.507090000000005,11.3416,Entire home/apt,60,2,4,2020-03-08,0.1,1,0,0,,Bolognina
2085,42011875,Condo in Bologna · ★4.89 · 1 bedroom · 1 bed · 1 private bath,126380574,Chiara,,Porto - Saragozza,44.50053,11.33751,Private room,63,2,281,2023-06-14,6.85,1,152,114,,Marconi
2086,42015824,Rental unit in Bologna · ★4.97 · 1 bedroom · 2 beds · 1 bath,332909858,Lucia,,Navile,44.51124,11.32922,Entire home/apt,80,3,74,2023-06-19,1.91,1,70,39,PGN 472726,Lame
