id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
32103047,Temporary House de Giudei: in the heart of Bologna,30584188,Marco,,Santo Stefano,4.449.508,113.462,Entire home/apt,90,2,0,,,5,251,march,2019
32103189,Comodo appartamento zona Sant’Orsola,86883488,Denise,,Santo Stefano,4.448.546,1.136.604,Entire home/apt,60,2,0,,,3,141,march,2019
32105407,Amazing Bologna,58911658,Miriam,,Navile,4.453.707,1.135.208,Entire home/apt,70,1,0,,,1,159,march,2019
32124581,Bed in the center,240854364,Lopez,,Santo Stefano,4.449.399,1.135.523,Shared room,19,1,1,13/02/19,1,2,280,march,2019
32125014,Quiet House,241019910,Stefano,,San Donato - San Vitale,4.450.653,1.135.535,Entire home/apt,50,1,10,08/03/19,10,1,82,march,2019
32125409,Tourist House a 2 passi da Piazza Maggiore,47819458,Guido,,Santo Stefano,4.449.579,1.134.486,Entire home/apt,69,2,0,,,5,275,march,2019
32126443,Fringe Apartment- Bologna,47819458,Guido,,Santo Stefano,4.449.702,1.134.637,Entire home/apt,50,2,0,,,5,325,march,2019
32126804,Light House Apartment- Bologna,47819458,Guido,,Santo Stefano,4.449.917,1.134.467,Entire home/apt,79,2,1,05/03/19,1,5,320,march,2019
32129625,Casa Bella Daisy,152945951,28,,Porto - Saragozza,4.449.747,113.363,Entire home/apt,100,2,0,,,24,351,march,2019
32153024,Zamboni - studio in strategic position,5510279,Alessandro,,Santo Stefano,4.449.618,1.135.329,Entire home/apt,40,2,0,,,31,50,march,2019
32155468,Martina Bologna,12182373,Luca,,Navile,4.450.535,1.135.055,Entire home/apt,72,1,0,,,30,345,march,2019
32176315,TopView x3 500mt da Piazza Maggiore,7441756,Raffaello,,Porto - Saragozza,4.449.795,1.133.859,Private room,87,1,1,09/02/19,1,3,335,march,2019
32176509,Comfortable room near station/trade show/center,6572441,Keith,,Navile,4.451.427,1.134.104,Private room,40,2,0,,,1,108,march,2019
32176611,Singola al Mercato delle Erbe,7441756,Raffaello,,Porto - Saragozza,4.449.763,1.133.775,Private room,87,1,0,,,3,310,march,2019
32177270,bed in Bologna center,240854364,Lopez,,Santo Stefano,4.449.446,1.135.354,Shared room,15,1,1,13/02/19,1,2,0,march,2019
32180277,whouse suite apartment mirasole,218344127,Gloria,,Santo Stefano,4.448.662,1.134.071,Entire home/apt,75,1,0,,,4,175,march,2019
32186026,monolocale stazione,85572804,Francesca,,Porto - Saragozza,445.047,113.384,Entire home/apt,150,1,0,,,2,1,march,2019
32199278,Casa Valentina - Fiera Centro Stazione.,187610876,Reesma,,Navile,4.451.698,1.134.967,Entire home/apt,60,2,0,,,4,97,march,2019
32203093,Flatinbo Apartments - Galliera,50429991,Filippo,,Porto - Saragozza,4.449.976,1.134.238,Entire home/apt,1000,3,0,,,8,343,march,2019
32206256,Dreaming Bologna Apartment!,19176405,Hello Bologna!,,Santo Stefano,4.449.445,1.134.507,Entire home/apt,60,2,0,,,3,321,march,2019
32210684,appartamento con balcone stalingrado,164308345,Enrico,,Navile,4.450.886,1.135.421,Entire home/apt,110,2,1,01/03/19,1,2,256,march,2019
32213737,Bologna Holiday Inn,194548192,Armanda,,Santo Stefano,4.450.425,1.135.197,Entire home/apt,120,1,0,,,2,343,march,2019
32250200,The Ninfee San Leonardo,64427164,Francesco,,Santo Stefano,4.449.328,1.135.399,Entire home/apt,65,1,0,,,3,335,march,2019
32250672,Appartamento Porta Santo Stefano,242050791,Silvia,,Santo Stefano,4.448.209,1.136.012,Entire home/apt,120,2,1,17/02/19,1,1,101,march,2019
32279155,B&BeHappy,242254082,Francesca,,Navile,4.451.182,1.134.375,Private room,120,1,0,,,3,274,march,2019
32281509,Asinelli Suite privilegiata vista sulle due Torri,116693002,Eleonora,,Santo Stefano,4.449.337,1.134.678,Entire home/apt,100,2,1,16/02/19,1,3,308,march,2019
32283074,Asinelli Panoramic Rooftop in front of Due Torri,116693002,Eleonora,,Santo Stefano,4.449.413,1.134.515,Entire home/apt,150,2,0,,,3,336,march,2019
32292233,Klaus Apartments Bologna Fiera,242388918,Claudio,,Navile,4.451.267,113.563,Entire home/apt,95,1,0,,,1,30,march,2019
32296573,Appartamento MiBo in fiera a Bologna,239054049,Elisa,,San Donato - San Vitale,4.450.815,1.136.896,Entire home/apt,80,1,0,,,1,342,march,2019
32297634,La Dotta aparments,21592706,Lucia,,Porto - Saragozza,4.449.662,1.133.781,Entire home/apt,120,1,0,,,7,129,march,2019
32300984,ANGEL HOUSE,238735878,Laura,,Navile,4.453.982,1.135.092,Entire home/apt,40,1,4,28/02/19,4,1,127,march,2019
32304338,Skyfierabo,242497420,Vincenzo,,San Donato - San Vitale,4.451.109,1.135.766,Entire home/apt,77,1,1,03/03/19,1,1,95,march,2019
32305170,Bologna Fiera Guest House,242503389,Edoardo,,San Donato - San Vitale,4.450.612,1.136.122,Entire home/apt,50,1,0,,,1,144,march,2019
32323118,Double room at an apartment.,225131165,Abdulsalam,,San Donato - San Vitale,4.450.029,1.138.998,Shared room,25,1,0,,,1,2,march,2019
32326686,Bologna Old Artist Garage,13123808,Francesco,,Santo Stefano,4.447.511,113.734,Entire home/apt,45,3,1,06/03/19,1,2,314,march,2019
32327601,LOFT GARDEN in Bologna's heart,24228659,Anna,,Santo Stefano,4.448.251,1.133.815,Entire home/apt,60,1,1,03/03/19,1,1,348,march,2019
32328505,camera in affitto per brevi periodi 1/2 letti,3182649,Anna,,Borgo Panigale - Reno,4.451.801,1.129.646,Private room,45,1,0,,,3,65,march,2019
32336212,P-Tower luxury apartment,25768963,Pierfrancesco,,Navile,4.451.064,1.135.572,Entire home/apt,120,2,0,,,1,50,march,2019
